1,Lewis Hamilton,Reino Unido,1985-01-07,1
2,Max Verstappen,Países Bajos,1997-09-30,2
3,Charles Leclerc,Mónaco,1997-10-16,3
4,Sebastian Vettel,Alemania,1987-07-03,4
5,Fernando Alonso,España,1981-07-29,5
